0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:26 +0800] "GET /carRental_fore/fore/tx/js/TweenLite.min.js HTTP/1.1" 200 25167
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:26 +0800] "GET /carRental_fore/fore/tx/js/demo-1.js HTTP/1.1" 200 5749
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:26 +0800] "GET /carRental_fore/fore/tx/images/demo-1-bg.jpg HTTP/1.1" 200 277841
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:32 +0800] "GET /carRental_fore/fore/login.jsp HTTP/1.1" 200 25959
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:32 +0800] "GET /carRental_fore/VerifyCodeServlet HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:34 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:40 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:52 +0800] "GET /carRental_fore/fore/login.jsp HTTP/1.1" 200 25959
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:52 +0800] "GET /carRental_fore/VerifyCodeServlet HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:54 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:04 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:10 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:19 +0800] "GET /carRental_fore/fore/login.jsp HTTP/1.1" 200 25959
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:19 +0800] "GET /carRental_fore/VerifyCodeServlet HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:21 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:24 +0800] "POST /carRental_fore/user/login HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:30 +0800] "GET /carRental_fore/fore/login.jsp HTTP/1.1" 200 25959
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:30 +0800] "GET /carRental_fore/VerifyCodeServlet HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:51 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:44:54 +0800] "POST /carRental_fore/user/login HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:00 +0800] "GET /carRental_fore/fore/login.jsp HTTP/1.1" 200 25959
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:00 +0800] "GET /carRental_fore/VerifyCodeServlet HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:02 +0800] "POST /carRental_fore/sendVerifyCodeServlet?method=getsessionCode HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:07 +0800] "GET /carRental_fore/fore/frist.jsp HTTP/1.1" 200 9256
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:07 +0800] "POST /carRental_fore/car/getVideo HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:07 +0800] "GET /car_img/yst.mp4 HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:46 +0800] "GET /carRental_fore/fore/carImage1/result6.swf HTTP/1.1" 200 821083
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:51 +0800] "GET /carRental_fore/fore/login.jsp HTTP/1.1" 200 25959
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:45:51 +0800] "GET /carRental_fore/VerifyCodeServlet HTTP/1.1" 200 1654
